county,precinct,office,district,candidate,party,votes
Leavenworth,W1P1,President,,Hillary Clinton,D,187
Leavenworth,W1P1,President,,Gary Johnson,LBT,13
Leavenworth,W1P1,President,,Jill Stein,IND,15
Leavenworth,W1P1,President,,Donald Trump,R,110
Leavenworth,W1P1,President,,write-in,,4
Leavenworth,W1P1,U.S. Senate,,Robert Garrard,LBT,19
Leavenworth,W1P1,U.S. Senate,,Jerry Moran,R,120
Leavenworth,W1P1,U.S. Senate,,Patrick Wiesner,D,185
Leavenworth,W1P1,U.S. Senate,,write-in,,1
Leavenworth,W1P1,U.S. House 2,CD2,James Bales,LBT,28
Leavenworth,W1P1,U.S. House 2,CD2,Lynn Jenkins,R,134
Leavenworth,W1P1,U.S. House 2,CD2,Britani Potter,D,161
Leavenworth,W1P1,State Senate,SD05,Steve Fitzgerald,R,136
Leavenworth,W1P1,State Senate,SD05,Bill Hutton,D,184
Leavenworth,W1P1,State Senate ,SD05,write-in,,1
Leavenworth,W1P1,State House ,HD041,Tony Barton,R,119
Leavenworth,W1P1,State House ,HD041,Jeff Pittman,D,204
Leavenworth,W1P1,State House ,HD041,write-in,,3
Leavenworth,W1P1,Voters,,Voter Registration,,0
Leavenworth,W1P1,Voters,,Total Voted,,332
Leavenworth,W2P1,President,,Hillary Clinton,D,118
Leavenworth,W2P1,President,,Gary Johnson,LBT,13
Leavenworth,W2P1,President,,Jill Stein,IND,7
Leavenworth,W2P1,President,,Donald Trump,R,160
Leavenworth,W2P1,President,,write-in,,7
Leavenworth,W2P1,U.S. Senate,,Robert Garrard,LBT,24
Leavenworth,W2P1,U.S. Senate,,Jerry Moran,R,161
Leavenworth,W2P1,U.S. Senate,,Patrick Wiesner,D,115
Leavenworth,W2P1,U.S. House 2,CD2,James Bales,LBT,30
Leavenworth,W2P1,U.S. House 2,CD2,Lynn Jenkins,R,162
Leavenworth,W2P1,U.S. House 2,CD2,Britani Potter,D,107
Leavenworth,W2P1,State Senate,SD05,Steve Fitzgerald,R,160
Leavenworth,W2P1,State Senate,SD05,Bill Hutton,D,139
Leavenworth,W2P1,State House ,HD041,Tony Barton,R,129
Leavenworth,W2P1,State House ,HD041,Jeff Pittman,D,170
Leavenworth,W2P1,Voters,,Voter Registration,,637
Leavenworth,W2P1,Voters,,Total Voted,,307
Leavenworth,W2P2,President,,Hillary Clinton,D,123
Leavenworth,W2P2,President,,Gary Johnson,LBT,22
Leavenworth,W2P2,President,,Jill Stein,IND,11
Leavenworth,W2P2,President,,Donald Trump,R,136
Leavenworth,W2P2,President,,write-in,,6
Leavenworth,W2P2,U.S. Senate,,Robert Garrard,LBT,23
Leavenworth,W2P2,U.S. Senate,,Jerry Moran,R,147
Leavenworth,W2P2,U.S. Senate,,Patrick Wiesner,D,123
Leavenworth,W2P2,U.S. House 2,CD2,James Bales,LBT,23
Leavenworth,W2P2,U.S. House 2,CD2,Lynn Jenkins,R,165
Leavenworth,W2P2,U.S. House 2,CD2,Britani Potter,D,106
Leavenworth,W2P2,State Senate ,SD05,Steve Fitzgerald,R,143
Leavenworth,W2P2,State Senate ,SD05,Bill Hutton,D,149
Leavenworth,W2P2,State House ,HD041,Tony Barton,R,123
Leavenworth,W2P2,State House ,HD041,Jeff Pittman,D,172
Leavenworth,W2P2,Voters,,Voter Registration,,610
Leavenworth,W2P2,Voters,,Total Voted,,301
Leavenworth,W2P3,President,,Hillary Clinton,D,215
Leavenworth,W2P3,President,,Gary Johnson,LBT,21
Leavenworth,W2P3,President,,Jill Stein,IND,10
Leavenworth,W2P3,President,,Donald Trump,R,204
Leavenworth,W2P3,President,,write-in,,8
Leavenworth,W2P3,U.S. Senate,,Robert Garrard,LBT,33
Leavenworth,W2P3,U.S. Senate,,Jerry Moran,R,207
Leavenworth,W2P3,U.S. Senate,,Patrick Wiesner,D,208
Leavenworth,W2P3,U.S. House 2,CD2,James Bales,LBT,30
Leavenworth,W2P3,U.S. House 2,CD2,Lynn Jenkins,R,230
Leavenworth,W2P3,U.S. House 2,CD2,Britani Potter,D,181
Leavenworth,W2P3,State Senate,SD05,Steve Fitzgerald,R,232
Leavenworth,W2P3,State Senate,SD05,Bill Hutton,D,213
Leavenworth,W2P3,State Senate,SD05,write-in,,1
Leavenworth,W2P3,State House ,,JOHN BRADFORD,R,189
Leavenworth,W2P3,State House ,,DEBBIE DEERE,D,254
Leavenworth,W2P3,Voters,,Voter Registration,,961
Leavenworth,W2P3,Voters,,Total Voted,,459
Leavenworth,W3P1,President,,Hillary Clinton,D,187
Leavenworth,W3P1,President,,Gary Johnson,LBT,42
Leavenworth,W3P1,President,,Jill Stein,IND,14
Leavenworth,W3P1,President,,Donald Trump,R,242
Leavenworth,W3P1,President,,write-in,,6
Leavenworth,W3P1,U.S. Senate,,Robert Garrard,LBT,60
Leavenworth,W3P1,U.S. Senate,,Jerry Moran,R,233
Leavenworth,W3P1,U.S. Senate,,Patrick Wiesner,D,194
Leavenworth,W3P1,U.S. House 2,CD2,James Bales,LBT,58
Leavenworth,W3P1,U.S. House 2,CD2,Lynn Jenkins,R,262
Leavenworth,W3P1,U.S. House 2,CD2,Britani Potter,D,165
Leavenworth,W3P1,U.S. House 2,CD2,write-in,,1
Leavenworth,W3P1,State Senate,SD05,Steve Fitzgerald,R,259
Leavenworth,W3P1,State Senate,SD05,Bill Hutton,D,220
Leavenworth,W3P1,State Senate,SD05,write-in,,4
Leavenworth,W3P1,State House ,HD041,Tony Barton,R,198
Leavenworth,W3P1,State House ,HD041,Jeff Pittman,D,282
Leavenworth,W3P1,State House,HD041,write-in,,3
Leavenworth,W3P1,Voters,,Voter Registration,,1013
Leavenworth,W3P1,Voters,,Total Voted,,497
Leavenworth,W4P1,President,,Hillary Clinton,D,119
Leavenworth,W4P1,President,,Gary Johnson,LBT,16
Leavenworth,W4P1,President,,Jill Stein,IND,10
Leavenworth,W4P1,President,,Donald Trump,R,114
Leavenworth,W4P1,President,,write-in,,3
Leavenworth,W4P1,U.S. Senate,,Robert Garrard,LBT,22
Leavenworth,W4P1,U.S. Senate,,Jerry Moran,R,108
Leavenworth,W4P1,U.S. Senate,,Patrick Wiesner,D,127
Leavenworth,W4P1,U.S. Senate,,write-in,,3
Leavenworth,W4P1,U.S. House 2,CD2,James Bales,LBT,23
Leavenworth,W4P1,U.S. House 2,CD2,Lynn Jenkins,R,128
Leavenworth,W4P1,U.S. House 2,CD2,Britani Potter,D,108
Leavenworth,W4P1,State Senate,SD05,Steve Fitzgerald,R,143
Leavenworth,W4P1,State Senate,SD05,Bill Hutton,D,115
Leavenworth,W4P1,State House ,HD041,Tony Barton,R,95
Leavenworth,W4P1,State House ,HD041,Jeff Pittman,D,165
Leavenworth,W4P1,State House,HD041,write-in,,1
Leavenworth,W4P1,Voters,,Voter Registration,,692
Leavenworth,W4P1,Voters,,Total Voted,,265
Leavenworth,W5P1,President,,Hillary Clinton,D,170
Leavenworth,W5P1,President,,Gary Johnson,LBT,24
Leavenworth,W5P1,President,,Jill Stein,IND,14
Leavenworth,W5P1,President,,Donald Trump,R,172
Leavenworth,W5P1,President,,write-in,,7
Leavenworth,W5P1,U.S. Senate,,Robert Garrard,LBT,26
Leavenworth,W5P1,U.S. Senate,,Jerry Moran,R,181
Leavenworth,W5P1,U.S. Senate,,Patrick Wiesner,D,174
Leavenworth,W5P1,U.S. House 2,CD2,James Bales,LBT,41
Leavenworth,W5P1,U.S. House 2,CD2,Lynn Jenkins,R,186
Leavenworth,W5P1,U.S. House 2,CD2,Britani Potter,D,156
Leavenworth,W5P1,State Senate,SD05,Steve Fitzgerald,R,196
Leavenworth,W5P1,State Senate,SD05,Bill Hutton,D,183
Leavenworth,W5P1,State Senate,SD05,write-in,,2
Leavenworth,W5P1,State House ,HD041,Tony Barton,R,149
Leavenworth,W5P1,State House ,HD041,Jeff Pittman,D,233
Leavenworth,W5P1,State House,HD041,write-in,,1
Leavenworth,W5P1,Voters,,Voter Registration,,841
Leavenworth,W5P1,Voters,,Total Voted,,389
Leavenworth,W5P2,President,,Hillary Clinton,D,123
Leavenworth,W5P2,President,,Gary Johnson,LBT,31
Leavenworth,W5P2,President,,Jill Stein,IND,11
Leavenworth,W5P2,President,,Donald Trump,R,172
Leavenworth,W5P2,President,,write-in,,2
Leavenworth,W5P2,U.S. Senate,,Robert Garrard,LBT,35
Leavenworth,W5P2,U.S. Senate,,Jerry Moran,R,175
Leavenworth,W5P2,U.S. Senate,,Patrick Wiesner,D,128
Leavenworth,W5P2,U.S. House 2,CD2,James Bales,LBT,42
Leavenworth,W5P2,U.S. House 2,CD2,Lynn Jenkins,R,183
Leavenworth,W5P2,U.S. House 2,CD2,Britani Potter,D,113
Leavenworth,W5P2,U.S. House 2,CD2,write-in,,1
Leavenworth,W5P2,State Senate,SD05,Steve Fitzgerald,R,180
Leavenworth,W5P2,State Senate,SD05,Bill Hutton,D,157
Leavenworth,W5P2,State House ,HD041,Tony Barton,R,148
Leavenworth,W5P2,State House ,HD041,Jeff Pittman,D,188
Leavenworth,W5P2,Voters,,Voter Registration,,702
Leavenworth,W5P2,Voters,,Total Voted,,342
Leavenworth,W5P3,President,,Hillary Clinton,D,230
Leavenworth,W5P3,President,,Gary Johnson,LBT,47
Leavenworth,W5P3,President,,Jill Stein,IND,16
Leavenworth,W5P3,President,,Donald Trump,R,370
Leavenworth,W5P3,President,,write-in,,8
Leavenworth,W5P3,U.S. Senate,,Robert Garrard,LBT,56
Leavenworth,W5P3,U.S. Senate,,Jerry Moran,R,376
Leavenworth,W5P3,U.S. Senate,,Patrick Wiesner,D,228
Leavenworth,W5P3,U.S. House 2,CD2,James Bales,LBT,53
Leavenworth,W5P3,U.S. House 2,CD2,Lynn Jenkins,R,407
Leavenworth,W5P3,U.S. House 2,CD2,Britani Potter,D,199
Leavenworth,W5P3,State Senate,SD05,Steve Fitzgerald,R,389
Leavenworth,W5P3,State Senate,SD05,Bill Hutton,D,270
Leavenworth,W5P3,State House ,HD041,Tony Barton,R,283
Leavenworth,W5P3,State House ,HD041,Jeff Pittman,D,377
Leavenworth,W5P3,State House,HD041,write-in,,1
Leavenworth,W5P3,Voters,,Voter Registration,,1205
Leavenworth,W5P3,Voters,,Total Voted,,675
Leavenworth,W5P4,President,,Hillary Clinton,D,125
Leavenworth,W5P4,President,,Gary Johnson,LBT,31
Leavenworth,W5P4,President,,Jill Stein,IND,10
Leavenworth,W5P4,President,,Donald Trump,R,242
Leavenworth,W5P4,President,,write-in,,11
Leavenworth,W5P4,U.S. Senate,,Robert Garrard,LBT,25
Leavenworth,W5P4,U.S. Senate,,Jerry Moran,R,255
Leavenworth,W5P4,U.S. Senate,,Patrick Wiesner,D,132
Leavenworth,W5P4,U.S. House 2,CD2,James Bales,LBT,29
Leavenworth,W5P4,U.S. House 2,CD2,Lynn Jenkins,R,268
Leavenworth,W5P4,U.S. House 2,CD2,Britani Potter,D,113
Leavenworth,W5P4,U.S. House 2,CD2,write-in,,1
Leavenworth,W5P4,State Senate,SD05,Steve Fitzgerald,R,260
Leavenworth,W5P4,State Senate,SD05,Bill Hutton,D,152
Leavenworth,W5P4,State House ,HD041,Tony Barton,R,216
Leavenworth,W5P4,State House ,HD041,Jeff Pittman,D,197
Leavenworth,W5P4,State House,HD041,write-in,,1
Leavenworth,W5P4,Voters,,Voter Registration,,728
Leavenworth,W5P4,Voters,,Total Voted,,422
Leavenworth,W6P1,President,,Hillary Clinton,D,218
Leavenworth,W6P1,President,,Gary Johnson,LBT,31
Leavenworth,W6P1,President,,Jill Stein,IND,16
Leavenworth,W6P1,President,,Donald Trump,R,267
Leavenworth,W6P1,President,,write-in,,10
Leavenworth,W6P1,U.S. Senate,,Robert Garrard,LBT,39
Leavenworth,W6P1,U.S. Senate,,Jerry Moran,R,293
Leavenworth,W6P1,U.S. Senate,,Patrick Wiesner,D,201
Leavenworth,W6P1,U.S. Senate,,write-in,,2
Leavenworth,W6P1,U.S. House 2,CD2,James Bales,LBT,44
Leavenworth,W6P1,U.S. House 2,CD2,Lynn Jenkins,R,299
