county,precinct,office,district,party,candidate,votes
McPherson,CANTON,President,,I,Stein - Baraka,4
McPherson,CASTLE,President,,I,Stein - Baraka,2
McPherson,DELMORE,President,,I,Stein - Baraka,4
McPherson,EMPIRE,President,,I,Stein - Baraka,7
McPherson,GROVELAND,President,,I,Stein - Baraka,4
McPherson,GYPSUM CREEK,President,,I,Stein - Baraka,2
McPherson,HARPER,President,,I,Stein - Baraka,1
McPherson,HAVES,President,,I,Stein - Baraka,3
McPherson,KING CITY,President,,I,Stein - Baraka,9
McPherson,LITTLE VALLEY,President,,I,Stein - Baraka,1
McPherson,LONE TREE,President,,I,Stein - Baraka,2
McPherson,MARQUETTE,President,,I,Stein - Baraka,9
McPherson,MCPHERSON,President,,I,Stein - Baraka,3
McPherson,MERIDIAN,President,,I,Stein - Baraka,4
McPherson,MOUND,President,,I,Stein - Baraka,35
McPherson,NEW GOTTLAND,President,,I,Stein - Baraka,3
McPherson,SMOKY HILL,President,,I,Stein - Baraka,2
McPherson,SPRING VALLEY,President,,I,Stein - Baraka,4
McPherson,SUPERIOR,President,,I,Stein - Baraka,16
McPherson,TURKEY CREEK,President,,I,Stein - Baraka,3
McPherson,UNION,President,,I,Stein - Baraka,1
McPherson,LINDSBORG - 1,President,,I,Stein - Baraka,10
McPherson,LINDSRORG - 2,President,,I,Stein - Baraka,12
McPherson,LINDSBORG - 3,President,,I,Stein - Baraka,6
McPherson,LINDSBORG - 4,President,,I,Stein - Baraka,8
McPherson,McPHERSON - 1,President,,I,Stein - Baraka,71
McPherson,McPHERSON - 2,President,,I,Stein - Baraka,18
McPherson,McPHERSON - 3,President,,I,Stein - Baraka,17
McPherson,McPHERSON - 4,President,,I,Stein - Baraka,34
McPherson,BATTLE HILL,President,,R,Trump - Pence,37
McPherson,BONAVILLE,President,,R,Trump - Pence,40
McPherson,CANTON,President,,R,Trump - Pence,296
McPherson,CASTLE,President,,R,Trump - Pence,55
McPherson,DELMORE,President,,R,Trump - Pence,64
McPherson,EMPIRE,President,,R,Trump - Pence,409
McPherson,GROVELAND,President,,R,Trump - Pence,73
McPherson,GYPSUM CREEK,President,,R,Trump - Pence,70
McPherson,HARPER,President,,R,Trump - Pence,65
McPherson,HAVES,President,,R,Trump - Pence,95
McPherson,JACKSON,President,,R,Trump - Pence,71
McPherson,KING CITY,President,,R,Trump - Pence,197
McPherson,LITTLE VALLEY,President,,R,Trump - Pence,171
McPherson,LONE TREE,President,,R,Trump - Pence,64
McPherson,MARQUETTE,President,,R,Trump - Pence,250
McPherson,MCPHERSON,President,,R,Trump - Pence,204
McPherson,MERIDIAN,President,,R,Trump - Pence,81
McPherson,MOUND,President,,R,Trump - Pence,533
McPherson,NEW GOTTLAND,President,,R,Trump - Pence,209
McPherson,SMOKY HILL,President,,R,Trump - Pence,124
McPherson,S SHARPS CREEK,President,,R,Trump - Pence,41
McPherson,SPRING VALLEY,President,,R,Trump - Pence,113
McPherson,SUPERIOR,President,,R,Trump - Pence,577
McPherson,TURKEY CREEK,President,,R,Trump - Pence,105
McPherson,UNION,President,,R,Trump - Pence,71
McPherson,LINDSBORG - 1,President,,R,Trump - Pence,178
McPherson,LINDSRORG - 2,President,,R,Trump - Pence,241
McPherson,LINDSBORG - 3,President,,R,Trump - Pence,188
McPherson,LINDSBORG - 4,President,,R,Trump - Pence,208
McPherson,McPHERSON - 1,President,,R,Trump - Pence,1910
McPherson,McPHERSON - 2,President,,R,Trump - Pence,638
McPherson,McPHERSON - 3,President,,R,Trump - Pence,364
McPherson,McPHERSON - 4,President,,R,Trump - Pence,807
McPherson,BATTLE HILL,President,,D,Clinton - Kaine,14
McPherson,BONAVILLE,President,,D,Clinton - Kaine,5
