county,precinct,office,district,party,candidate,votes,vtd
WILSON,Cedar Township,State House,13,Republican,"Hibbard, Larry P.",193,000010
WILSON,Center Township,State House,13,Republican,"Hibbard, Larry P.",241,000020
WILSON,Chetopa Township,State House,13,Republican,"Hibbard, Larry P.",81,000030
WILSON,Clifton Township,State House,13,Republican,"Hibbard, Larry P.",110,000040
WILSON,Colfax Township,State House,13,Republican,"Hibbard, Larry P.",178,000050
WILSON,Duck Creek Township,State House,13,Republican,"Hibbard, Larry P.",33,000060
WILSON,Fall River Township,State House,13,Republican,"Hibbard, Larry P.",160,000070
WILSON,Fredonia Ward 1,State House,13,Republican,"Hibbard, Larry P.",219,000080
WILSON,Fredonia Ward 2,State House,13,Republican,"Hibbard, Larry P.",78,000090
WILSON,Fredonia Ward 3,State House,13,Republican,"Hibbard, Larry P.",95,00010A
WILSON,Fredonia Ward 3 Exclave,State House,13,Republican,"Hibbard, Larry P.",0,00010B
WILSON,Fredonia Ward 4,State House,13,Republican,"Hibbard, Larry P.",431,000110
WILSON,Guilford Township,State House,13,Republican,"Hibbard, Larry P.",63,000120
WILSON,Neodesha Township,State House,13,Republican,"Hibbard, Larry P.",210,000130
WILSON,Neodesha Ward 1,State House,13,Republican,"Hibbard, Larry P.",144,00014A
WILSON,Neodesha Ward 1 Exclave,State House,13,Republican,"Hibbard, Larry P.",0,00014B
WILSON,Neodesha Ward 2,State House,13,Republican,"Hibbard, Larry P.",157,000150
WILSON,Neodesha Ward 3,State House,13,Republican,"Hibbard, Larry P.",139,000160
WILSON,Neodesha Ward 4,State House,13,Republican,"Hibbard, Larry P.",287,000170
WILSON,Newark Township,State House,13,Republican,"Hibbard, Larry P.",95,000180
WILSON,Pleasant Valley Township,State House,13,Republican,"Hibbard, Larry P.",76,000190
WILSON,Prairie Township,State House,13,Republican,"Hibbard, Larry P.",54,000200
WILSON,Talleyrand Township,State House,13,Republican,"Hibbard, Larry P.",72,000210
WILSON,Verdigris Township,State House,13,Republican,"Hibbard, Larry P.",90,000220
WILSON,Webster Township,State House,13,Republican,"Hibbard, Larry P.",23,000230
WILSON,Neodesha Ward 1 Exclave 2,State House,13,Republican,"Hibbard, Larry P.",0,900010
WILSON,Neodesha Ward 3 Exclave 1,State House,13,Republican,"Hibbard, Larry P.",0,900020
WILSON,Neodesha Ward 3 Exclave 2,State House,13,Republican,"Hibbard, Larry P.",0,900030
WILSON,Neodesha Ward 4 Exclave,State House,13,Republican,"Hibbard, Larry P.",0,900040
WILSON,Cedar Township,State Senate,14,Democratic,"Pringle, Mark",46,000010
WILSON,Cedar Township,State Senate,14,Republican,"Givens, Bruce",156,000010
WILSON,Center Township,State Senate,14,Democratic,"Pringle, Mark",57,000020
WILSON,Center Township,State Senate,14,Republican,"Givens, Bruce",195,000020
WILSON,Chetopa Township,State Senate,14,Democratic,"Pringle, Mark",22,000030
WILSON,Chetopa Township,State Senate,14,Republican,"Givens, Bruce",62,000030
WILSON,Clifton Township,State Senate,14,Democratic,"Pringle, Mark",64,000040
WILSON,Clifton Township,State Senate,14,Republican,"Givens, Bruce",60,000040
WILSON,Colfax Township,State Senate,14,Democratic,"Pringle, Mark",91,000050
WILSON,Colfax Township,State Senate,14,Republican,"Givens, Bruce",124,000050
WILSON,Duck Creek Township,State Senate,14,Democratic,"Pringle, Mark",8,000060
