county,precinct,office,district,party,candidate,votes,vtd
Comanche,Avilla Township,State House,116,Democratic,"Roitman, Jolene E.",19,000010
Comanche,Avilla Township,State House,116,Republican,"Hoffman, Kyle D.",23,000010
Comanche,Coldwater Township,State House,116,Democratic,"Roitman, Jolene E.",283,000020
Comanche,Coldwater Township,State House,116,Republican,"Hoffman, Kyle D.",206,000020
Comanche,Powell Township,State House,116,Democratic,"Roitman, Jolene E.",25,000030
Comanche,Powell Township,State House,116,Republican,"Hoffman, Kyle D.",26,000030
Comanche,Protection Township H115,State House,115,Republican,"Orr, Boyd",210,120020
Comanche,Protection Township H116,State House,116,Democratic,"Roitman, Jolene E.",18,120030
Comanche,Protection Township H116,State House,116,Republican,"Hoffman, Kyle D.",42,120030
Comanche,Avilla Township,State Senate,32,Democratic,"Shimkus, Don",4,000010
Comanche,Avilla Township,State Senate,32,Republican,"Alley, Larry W.",37,000010
Comanche,Coldwater Township,State Senate,32,Democratic,"Shimkus, Don",119,000020
Comanche,Coldwater Township,State Senate,32,Republican,"Alley, Larry W.",342,000020
Comanche,Powell Township,State Senate,32,Democratic,"Shimkus, Don",15,000030
Comanche,Powell Township,State Senate,32,Republican,"Alley, Larry W.",35,000030
Comanche,Protection Township H115,State Senate,32,Democratic,"Shimkus, Don",41,120020
Comanche,Protection Township H115,State Senate,32,Republican,"Alley, Larry W.",177,120020
Comanche,Protection Township H116,State Senate,32,Democratic,"Shimkus, Don",8,120030
Comanche,Protection Township H116,State Senate,32,Republican,"Alley, Larry W.",54,120030
Comanche,Avilla Township,President,,independent,"Stein, Jill",0,000010
Comanche,Avilla Township,President,,Write-ins,"Basiago, Andrew D.",0,000010
Comanche,Avilla Township,President,,Write-ins,"Castle, Darrell L",0,000010
Comanche,Avilla Township,President,,Write-ins,"De La Fuente, ""Rocky"" Roque",0,000010
Comanche,Avilla Township,President,,Write-ins,"Giordani, Rocky",0,000010
Comanche,Avilla Township,President,,Write-ins,"Hedges, James A",0,000010
Comanche,Avilla Township,President,,Write-ins,"Hoefling, Tom",0,000010
Comanche,Avilla Township,President,,Write-ins,"Kahn, Lynn",0,000010
Comanche,Avilla Township,President,,Write-ins,"La Riva, Gloria",0,000010
Comanche,Avilla Township,President,,Write-ins,"Levinson, Michael S.",0,000010
Comanche,Avilla Township,President,,Write-ins,"Maturen, Michael A",0,000010
Comanche,Avilla Township,President,,Write-ins,"McMullin, Evan",0,000010
Comanche,Avilla Township,President,,Write-ins,"Moorehead, Monica G.",0,000010
