county,precinct,office,district,party,candidate,votes,vtd
Morris,Council Grove Ward 1,State House,68,Democratic,"Blevins, Laura",60,000010
Morris,Council Grove Ward 1,State House,68,Republican,"Baker, Dave",195,000010
Morris,Council Grove Ward 2,State House,68,Democratic,"Blevins, Laura",45,000020
Morris,Council Grove Ward 2,State House,68,Republican,"Baker, Dave",165,000020
Morris,Council Grove Ward 3,State House,68,Democratic,"Blevins, Laura",88,000030
Morris,Council Grove Ward 3,State House,68,Republican,"Baker, Dave",331,000030
Morris,Herington Ward 1 Exclave A,State House,68,Democratic,"Blevins, Laura",0,000040
Morris,Herington Ward 1 Exclave A,State House,68,Republican,"Baker, Dave",0,000040
Morris,Herington Ward 1 Exclave B,State House,68,Democratic,"Blevins, Laura",0,000050
Morris,Herington Ward 1 Exclave B,State House,68,Republican,"Baker, Dave",0,000050
Morris,Highland Township,State House,68,Democratic,"Blevins, Laura",9,000060
Morris,Highland Township,State House,68,Republican,"Baker, Dave",50,000060
Morris,Overland Township,State House,68,Democratic,"Blevins, Laura",13,000070
Morris,Overland Township,State House,68,Republican,"Baker, Dave",22,000070
Morris,Township 1 Precinct 1,State House,68,Democratic,"Blevins, Laura",27,000080
Morris,Township 1 Precinct 1,State House,68,Republican,"Baker, Dave",146,000080
Morris,Township 1 Precinct 2,State House,68,Democratic,"Blevins, Laura",17,000090
Morris,Township 1 Precinct 2,State House,68,Republican,"Baker, Dave",64,000090
Morris,Township 2,State House,68,Democratic,"Blevins, Laura",53,000100
Morris,Township 2,State House,68,Republican,"Baker, Dave",325,000100
Morris,Township 3,State House,68,Democratic,"Blevins, Laura",46,000110
Morris,Township 3,State House,68,Republican,"Baker, Dave",152,000110
Morris,Township 4,State House,68,Democratic,"Blevins, Laura",21,000120
Morris,Township 4,State House,68,Republican,"Baker, Dave",90,000120
Morris,Township 5,State House,68,Democratic,"Blevins, Laura",71,000130
Morris,Township 5,State House,68,Republican,"Baker, Dave",209,000130
Morris,Township 6,State House,68,Democratic,"Blevins, Laura",10,000140
Morris,Township 6,State House,68,Republican,"Baker, Dave",34,000140
Morris,Township 7,State House,68,Democratic,"Blevins, Laura",24,000150
Morris,Township 7,State House,68,Republican,"Baker, Dave",97,000150
Morris,Township 8,State House,68,Democratic,"Blevins, Laura",10,000160
Morris,Township 8,State House,68,Republican,"Baker, Dave",89,000160
Morris,Township 9,State House,68,Democratic,"Blevins, Laura",23,000170
Morris,Township 9,State House,68,Republican,"Baker, Dave",138,000170
Morris,Council Grove Ward 3 Exclave,State House,68,Democratic,"Blevins, Laura",0,900010
Morris,Council Grove Ward 3 Exclave,State House,68,Republican,"Baker, Dave",0,900010
Morris,Herington Exclave C Airport,State House,68,Democratic,"Blevins, Laura",0,900020
Morris,Herington Exclave C Airport,State House,68,Republican,"Baker, Dave",0,900020
Morris,Council Grove Ward 1,State Senate,35,Democratic,"Morris, Levi",104,000010
Morris,Council Grove Ward 1,State Senate,35,Republican,"Wilborn, Richard",147,000010
Morris,Council Grove Ward 2,State Senate,35,Democratic,"Morris, Levi",76,000020
Morris,Council Grove Ward 2,State Senate,35,Republican,"Wilborn, Richard",122,000020
Morris,Council Grove Ward 3,State Senate,35,Democratic,"Morris, Levi",172,000030
Morris,Council Grove Ward 3,State Senate,35,Republican,"Wilborn, Richard",234,000030
Morris,Herington Ward 1 Exclave A,State Senate,35,Democratic,"Morris, Levi",0,000040
Morris,Herington Ward 1 Exclave A,State Senate,35,Republican,"Wilborn, Richard",0,000040
Morris,Herington Ward 1 Exclave B,State Senate,35,Democratic,"Morris, Levi",0,000050
Morris,Herington Ward 1 Exclave B,State Senate,35,Republican,"Wilborn, Richard",0,000050
Morris,Highland Township,State Senate,35,Democratic,"Morris, Levi",9,000060
Morris,Highland Township,State Senate,35,Republican,"Wilborn, Richard",48,000060
Morris,Overland Township,State Senate,35,Democratic,"Morris, Levi",10,000070
Morris,Overland Township,State Senate,35,Republican,"Wilborn, Richard",21,000070
Morris,Township 1 Precinct 1,State Senate,35,Democratic,"Morris, Levi",52,000080
Morris,Township 1 Precinct 1,State Senate,35,Republican,"Wilborn, Richard",117,000080
Morris,Township 1 Precinct 2,State Senate,35,Democratic,"Morris, Levi",23,000090
Morris,Township 1 Precinct 2,State Senate,35,Republican,"Wilborn, Richard",57,000090
Morris,Township 2,State Senate,35,Democratic,"Morris, Levi",141,000100
Morris,Township 2,State Senate,35,Republican,"Wilborn, Richard",223,000100
Morris,Township 3,State Senate,35,Democratic,"Morris, Levi",57,000110
Morris,Township 3,State Senate,35,Republican,"Wilborn, Richard",134,000110
Morris,Township 4,State Senate,35,Democratic,"Morris, Levi",27,000120
Morris,Township 4,State Senate,35,Republican,"Wilborn, Richard",85,000120
Morris,Township 5,State Senate,35,Democratic,"Morris, Levi",54,000130
Morris,Township 5,State Senate,35,Republican,"Wilborn, Richard",220,000130
Morris,Township 6,State Senate,35,Democratic,"Morris, Levi",11,000140
Morris,Township 6,State Senate,35,Republican,"Wilborn, Richard",32,000140
Morris,Township 7,State Senate,35,Democratic,"Morris, Levi",33,000150
Morris,Township 7,State Senate,35,Republican,"Wilborn, Richard",87,000150
Morris,Township 8,State Senate,35,Democratic,"Morris, Levi",22,000160
Morris,Township 8,State Senate,35,Republican,"Wilborn, Richard",75,000160
Morris,Township 9,State Senate,35,Democratic,"Morris, Levi",56,000170
Morris,Township 9,State Senate,35,Republican,"Wilborn, Richard",97,000170
Morris,Council Grove Ward 3 Exclave,State Senate,35,Democratic,"Morris, Levi",0,900010
Morris,Council Grove Ward 3 Exclave,State Senate,35,Republican,"Wilborn, Richard",0,900010
Morris,Herington Exclave C Airport,State Senate,35,Democratic,"Morris, Levi",0,900020
Morris,Herington Exclave C Airport,State Senate,35,Republican,"Wilborn, Richard",0,900020
Morris,Council Grove Ward 1,President,,independent,"Stein, Jill",5,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Basiago, Andrew D.",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Castle, Darrell L",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"De La Fuente, ""Rocky"" Roque",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Giordani, Rocky",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Hedges, James A",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Hoefling, Tom",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Kahn, Lynn",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"La Riva, Gloria",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Levinson, Michael S.",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Maturen, Michael A",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"McMullin, Evan",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Moorehead, Monica G.",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Perry, Darryl",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Schoenke, Marshall R.",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Schriner, Joe C",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Smith, Mike",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Sood, Ajay",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Sterling, Shawna",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Valdivia, Anthony J",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Vogel-Walcutt, J.J.",0,000010
Morris,Council Grove Ward 1,President,,Write-ins,"Wysinger, Demetra Jefferson",0,000010
Morris,Council Grove Ward 1,President,,Democratic,"Clinton, Hillary Rodham",72,000010
Morris,Council Grove Ward 1,President,,Libertarian,"Johnson, Gary",7,000010
Morris,Council Grove Ward 1,President,,Republican,"Trump, Donald J.",167,000010
Morris,Council Grove Ward 2,President,,independent,"Stein, Jill",11,000020
Morris,Council Grove Ward 2,President,,Write-ins,"Basiago, Andrew D.",0,000020
