county,precinct,office,district,party,candidate,votes
Stafford,N. Stafford,U.S. House,4,Dem,James A. Thompson,36
Stafford,S. Stafford,U.S. House,4,Dem,James A. Thompson,31
Stafford,E. St. John,U.S. House,4,Dem,James A. Thompson,27
Stafford,W. St. John,U.S. House,4,Dem,James A. Thompson,11
Stafford,S. St. John,U.S. House,4,Dem,James A. Thompson,9
Stafford,Albano,U.S. House,4,Dem,James A. Thompson,4
Stafford,Byron,U.S. House,4,Dem,James A. Thompson,3
Stafford,Clear Creek,U.S. House,4,Dem,James A. Thompson,0
Stafford,Cleveland,U.S. House,4,Dem,James A. Thompson,3
Stafford,E. Cooper,U.S. House,4,Dem,James A. Thompson,0
Stafford,W. Cooper,U.S. House,4,Dem,James A. Thompson,1
Stafford,Douglas,U.S. House,4,Dem,James A. Thompson,5
Stafford,Fairview,U.S. House,4,Dem,James A. Thompson,10
Stafford,Farmington,U.S. House,4,Dem,James A. Thompson,18
Stafford,Hayes,U.S. House,4,Dem,James A. Thompson,9
Stafford,Lincoln,U.S. House,4,Dem,James A. Thompson,6
Stafford,Ohio,U.S. House,4,Dem,James A. Thompson,9
Stafford,Putnam,U.S. House,4,Dem,James A. Thompson,0
Stafford,Richland,U.S. House,4,Dem,James A. Thompson,2
Stafford,Rose Valley,U.S. House,4,Dem,James A. Thompson,5
Stafford,N. Seward,U.S. House,4,Dem,James A. Thompson,7
Stafford,S. Seward,U.S. House,4,Dem,James A. Thompson,2
Stafford,Union,U.S. House,4,Dem,James A. Thompson,3
Stafford,York,U.S. House,4,Dem,James A. Thompson,2
Stafford,Total,U.S. House,4,Dem,James A. Thompson,203
Stafford,N. Stafford,U.S. House,4,Rep,Ron Estes,67
Stafford,S. Stafford,U.S. House,4,Rep,Ron Estes,52
Stafford,E. St. John,U.S. House,4,Rep,Ron Estes,50
Stafford,W. St. John,U.S. House,4,Rep,Ron Estes,61
Stafford,S. St. John,U.S. House,4,Rep,Ron Estes,28
Stafford,Albano,U.S. House,4,Rep,Ron Estes,8
Stafford,Byron,U.S. House,4,Rep,Ron Estes,20
Stafford,Clear Creek,U.S. House,4,Rep,Ron Estes,7
Stafford,Cleveland,U.S. House,4,Rep,Ron Estes,12
Stafford,E. Cooper,U.S. House,4,Rep,Ron Estes,9
Stafford,W. Cooper,U.S. House,4,Rep,Ron Estes,10
Stafford,Douglas,U.S. House,4,Rep,Ron Estes,20
Stafford,Fairview,U.S. House,4,Rep,Ron Estes,16
Stafford,Farmington,U.S. House,4,Rep,Ron Estes,68
Stafford,Hayes,U.S. House,4,Rep,Ron Estes,36
Stafford,Lincoln,U.S. House,4,Rep,Ron Estes,31
Stafford,Ohio,U.S. House,4,Rep,Ron Estes,15
Stafford,Putnam,U.S. House,4,Rep,Ron Estes,8
Stafford,Richland,U.S. House,4,Rep,Ron Estes,11
Stafford,Rose Valley,U.S. House,4,Rep,Ron Estes,9
Stafford,N. Seward,U.S. House,4,Rep,Ron Estes,23
Stafford,S. Seward,U.S. House,4,Rep,Ron Estes,8
Stafford,Union,U.S. House,4,Rep,Ron Estes,7
Stafford,York,U.S. House,4,Rep,Ron Estes,2
Stafford,Total,U.S. House,4,Rep,Ron Estes,578
Stafford,N. Stafford,U.S. House,4,Lib,Chris Rockhold,4
Stafford,S. Stafford,U.S. House,4,Lib,Chris Rockhold,0
Stafford,E. St. John,U.S. House,4,Lib,Chris Rockhold,1
Stafford,W. St. John,U.S. House,4,Lib,Chris Rockhold,0
Stafford,S. St. John,U.S. House,4,Lib,Chris Rockhold,3
Stafford,Albano,U.S. House,4,Lib,Chris Rockhold,0
Stafford,Byron,U.S. House,4,Lib,Chris Rockhold,0
Stafford,Clear Creek,U.S. House,4,Lib,Chris Rockhold,0
Stafford,Cleveland,U.S. House,4,Lib,Chris Rockhold,0
Stafford,E. Cooper,U.S. House,4,Lib,Chris Rockhold,0
Stafford,W. Cooper,U.S. House,4,Lib,Chris Rockhold,0
Stafford,Douglas,U.S. House,4,Lib,Chris Rockhold,0
Stafford,Fairview,U.S. House,4,Lib,Chris Rockhold,3
Stafford,Farmington,U.S. House,4,Lib,Chris Rockhold,2
Stafford,Hayes,U.S. House,4,Lib,Chris Rockhold,1
Stafford,Lincoln,U.S. House,4,Lib,Chris Rockhold,0
Stafford,Ohio,U.S. House,4,Lib,Chris Rockhold,0
Stafford,Putnam,U.S. House,4,Lib,Chris Rockhold,0
Stafford,Richland,U.S. House,4,Lib,Chris Rockhold,0
Stafford,Rose Valley,U.S. House,4,Lib,Chris Rockhold,0
Stafford,N. Seward,U.S. House,4,Lib,Chris Rockhold,2
Stafford,S. Seward,U.S. House,4,Lib,Chris Rockhold,0
Stafford,Union,U.S. House,4,Lib,Chris Rockhold,0
Stafford,York,U.S. House,4,Lib,Chris Rockhold,0
Stafford,Total,U.S. House,4,Lib,Chris Rockhold,16
