county,precinct,office,district,party,candidate,votes,vtd
WICHITA,Leoti Precinct 1,Attorney General,,Democratic,"Swain, Sarah G.",46,000010
WICHITA,Leoti Precinct 1,Attorney General,,Republican,"Schmidt, Derek",184,000010
WICHITA,Leoti Precinct 2,Attorney General,,Democratic,"Swain, Sarah G.",48,000020
WICHITA,Leoti Precinct 2,Attorney General,,Republican,"Schmidt, Derek",287,000020
WICHITA,Leoti Precinct 3,Attorney General,,Democratic,"Swain, Sarah G.",16,000030
WICHITA,Leoti Precinct 3,Attorney General,,Republican,"Schmidt, Derek",166,000030
WICHITA,Leoti Precinct 1,Governor / Lt. Governor,,independent,"Kloos, Rick",2,000010
WICHITA,Leoti Precinct 1,Governor / Lt. Governor,,independent,"Orman, Greg",20,000010
WICHITA,Leoti Precinct 1,Governor / Lt. Governor,,Democratic,"Kelly, Laura",53,000010
WICHITA,Leoti Precinct 1,Governor / Lt. Governor,,Libertarian,"Caldwell, Jeff",0,000010
WICHITA,Leoti Precinct 1,Governor / Lt. Governor,,Republican,"Kobach, Kris",158,000010
WICHITA,Leoti Precinct 2,Governor / Lt. Governor,,independent,"Kloos, Rick",0,000020
WICHITA,Leoti Precinct 2,Governor / Lt. Governor,,independent,"Orman, Greg",34,000020
WICHITA,Leoti Precinct 2,Governor / Lt. Governor,,Democratic,"Kelly, Laura",56,000020
WICHITA,Leoti Precinct 2,Governor / Lt. Governor,,Libertarian,"Caldwell, Jeff",2,000020
WICHITA,Leoti Precinct 2,Governor / Lt. Governor,,Republican,"Kobach, Kris",248,000020
WICHITA,Leoti Precinct 3,Governor / Lt. Governor,,independent,"Kloos, Rick",1,000030
WICHITA,Leoti Precinct 3,Governor / Lt. Governor,,independent,"Orman, Greg",10,000030
WICHITA,Leoti Precinct 3,Governor / Lt. Governor,,Democratic,"Kelly, Laura",20,000030
WICHITA,Leoti Precinct 3,Governor / Lt. Governor,,Libertarian,"Caldwell, Jeff",0,000030
WICHITA,Leoti Precinct 3,Governor / Lt. Governor,,Republican,"Kobach, Kris",154,000030
WICHITA,Leoti Precinct 1,Commissioner of Insurance,,Democratic,"McLaughlin, Nathaniel",43,000010
WICHITA,Leoti Precinct 1,Commissioner of Insurance,,Republican,"Schmidt, Vicki",187,000010
WICHITA,Leoti Precinct 2,Commissioner of Insurance,,Democratic,"McLaughlin, Nathaniel",38,000020
WICHITA,Leoti Precinct 2,Commissioner of Insurance,,Republican,"Schmidt, Vicki",294,000020
WICHITA,Leoti Precinct 3,Commissioner of Insurance,,Democratic,"McLaughlin, Nathaniel",14,000030
WICHITA,Leoti Precinct 3,Commissioner of Insurance,,Republican,"Schmidt, Vicki",168,000030
WICHITA,Leoti Precinct 1,Secretary of State,,Democratic,"McClendon, Brian ""BAM""",52,000010
WICHITA,Leoti Precinct 1,Secretary of State,,Libertarian,"Hodgkinson, Rob",7,000010
WICHITA,Leoti Precinct 1,Secretary of State,,Republican,"Schwab, Scott",173,000010
WICHITA,Leoti Precinct 2,Secretary of State,,Democratic,"McClendon, Brian ""BAM""",55,000020
WICHITA,Leoti Precinct 2,Secretary of State,,Libertarian,"Hodgkinson, Rob",8,000020
WICHITA,Leoti Precinct 2,Secretary of State,,Republican,"Schwab, Scott",272,000020
WICHITA,Leoti Precinct 3,Secretary of State,,Democratic,"McClendon, Brian ""BAM""",17,000030
WICHITA,Leoti Precinct 3,Secretary of State,,Libertarian,"Hodgkinson, Rob",4,000030
WICHITA,Leoti Precinct 3,Secretary of State,,Republican,"Schwab, Scott",162,000030
WICHITA,Leoti Precinct 1,Kansas House of Representatives,118,Republican,"Hineman, Don",208,10
WICHITA,Leoti Precinct 2,Kansas House of Representatives,118,Republican,"Hineman, Don",311,20
WICHITA,Leoti Precinct 3,Kansas House of Representatives,118,Republican,"Hineman, Don",173,30
WICHITA,Leoti Precinct 1,State Treasurer,,Democratic,"Francisco, Marci",44,000010
WICHITA,Leoti Precinct 1,State Treasurer,,Republican,"LaTurner, Jake",188,000010
WICHITA,Leoti Precinct 2,State Treasurer,,Democratic,"Francisco, Marci",44,000020
WICHITA,Leoti Precinct 2,State Treasurer,,Republican,"LaTurner, Jake",291,000020
WICHITA,Leoti Precinct 3,State Treasurer,,Democratic,"Francisco, Marci",15,000030
WICHITA,Leoti Precinct 3,State Treasurer,,Republican,"LaTurner, Jake",168,000030
WICHITA,Leoti Precinct 1,United States House of Representatives,1,Democratic,"LaPolice, Alan",43,000010
WICHITA,Leoti Precinct 1,United States House of Representatives,1,Republican,"Marshall, Roger",185,000010
WICHITA,Leoti Precinct 2,United States House of Representatives,1,Democratic,"LaPolice, Alan",50,000020
WICHITA,Leoti Precinct 2,United States House of Representatives,1,Republican,"Marshall, Roger",286,000020
WICHITA,Leoti Precinct 3,United States House of Representatives,1,Democratic,"LaPolice, Alan",21,000030
WICHITA,Leoti Precinct 3,United States House of Representatives,1,Republican,"Marshall, Roger",163,000030
